Document Title,Abstract,Year,PDF Link,label
What to Expect from Code Review Bots on GitHub? A Survey with OSS Maintainers,"Software bots are used by Open Source Software (OSS) projects to streamline the code
review process. Interfacing between developers and automated services, code review
bots report continuous integration failures, code quality checks, and code coverage.
However, the impact of such bots on maintenance tasks is still neglected. In this
paper, we study how project maintainers experience code review bots. We surveyed 127
maintainers and asked about their expectations and perception of changes incurred
by code review bots. Our findings reveal that the most frequent expectations include
enhancing the feedback bots provide to developers, reducing the maintenance burden
for developers, and enforcing code coverage. While maintainers report that bots satisfied
their expectations, they also perceived unexpected effects, such as communication
noise and newcomers' dropout. Based on these results, we provide a series of implications
for bot developers, as well as insights for future research.",2020,https://dx.doi.org/10.1145/3422392.3422459,no
Make: Arduino Bots and Gadgets Six Embedded Projects with Open Source Hardware and Software (Learning by Discovery),"Want to build your own robots, turn your ideas into prototypes, control devices with
a computer, or make your own cell phone applications? It's a snap with this book and
the Arduino open source electronic prototyping platform. Get started with six fun
projects and achieve impressive results quickly. Gain the know-how and experience
to invent your own cool gadgets. With Arduino, building your own embedded gadgets
is easy, even for beginners. Embedded systems are everywhere--inside cars, children's
toys, and mobile phones. This book will teach you the basics of embedded systems and
help you build your first gadget in just a few days. Each learn-as-you-build project
that follows will add to your knowledge and skills. Experiment with Arduino, the popular
microcontroller board Build robots and electronic projects with easy-to-follow instructions
Turn your ideas into working physical prototypes Use Android phones as remote controls
in your projects Work with an uncomplicated programming language created for artists,
designers, and hobbyists Get everyone involved, with projects that even beginners
can build.",2011,,no
FLOSS FAQ Chatbot Project Reuse: How to Allow Nonexperts to Develop a Chatbot,"FAQ chatbots possess the capability to provide answers to frequently asked questions
of a particular service, platform, or system. Currently, FAQ chatbot is the most popular
domain of use of dialog assistants. However, developing a chatbot project requires
a full-stack team formed by numerous specialists, such as dialog designer, data scientist,
software engineer, DevOps, business strategist and experts from the domain, which
can be both time and resources consuming. Language processing can be particularly
challenging in languages other than English due to the scarcity of training datasets.Most
of the requirements of FAQ chatbots are similar, domain-specific, and projects could
profit from Open Source Software (OSS) reuse. In this paper, we examine how OSS FAQ
chatbot projects can benefit from reuse at the project level (black-box reuse). We
present an experience report of a FLOSS FAQ chatbot project developed in Portuguese
to an e-government service in Brazil. It comprises of the chatbot distribution service,
as well as for analytics tool integrated and deployed on-premises. We identified assets
that could be reused as a black-box and the assets that should be customized for a
particular application. We categorized these assets in architecture, corpus, dialog
flows, machine learning models, and documentation. This paper discusses how automation,
pre-configuration, and templates can aid newcomers to develop chatbots in Portuguese
without the need for specialized skills required from tools in chatbot architecture.
Our main contribution is to highlight the issues non-English FAQ chatbots projects
will likely face and the assets that can be reused. It allows non-chatbot experts
to develop a quality-assured OSS FAQ chatbot in a shorter project cycle.",2019,https://dx.doi.org/10.1145/3306446.3340823,no
Use Bots to Improve GitHub Pull-Request Feedback,"Rising enrollments make it difficult for instructors and teaching assistants to give
adequate feedback on each student's work. In our software engineering course, we have
50-120 students each semester. Our course projects require students to submit GitHub
pull requests as deliverables for their open-source software (OSS) projects. We have
set up a static code analyzer and a continuous integration service on GitHub to help
students check code style and functionality. However, these tools cannot enforce system-specific
customized guidelines and do not explicitly display detailed information. In this
study, we discuss how we bypass the limitations of existing tools by implementing
three Internet bots. The Expertiza Bot can help detect violations of more than 35
system-specific guidelines. The Travis CI Bot can explicitly display instant test
execution results on the GitHub pull-request page. The Code Climate Bot can insert
pull-request comments to remind students to fix issues detected by the static code
analyzer. These bots are either open source or free for OSS projects, and can be easily
integrated with GitHub repositories. Our survey results show that more than 70% of
students think the advice given by the bots is useful. We tallied the amount of feedback
given by the bots and the teaching staff for each GitHub pull request. Results show
that bots can provide significantly more feedback (six times more on average) than
teaching staff. Bots can also offer more timely feedback than teaching staff and help
student contributions avoid more than 33% system-specific guideline violations.",2019,https://dx.doi.org/10.1145/3287324.3293787,no
An Empirical Study of Bots in Software Development: Characteristics and Challenges from a Practitioner’s Perspective,"Software engineering bots – automated tools that handle tedious tasks – are increasingly
used by industrial and open source projects to improve developer productivity. Current
research in this area is held back by a lack of consensus of what software engineering
bots (DevBots) actually are, what characteristics distinguish them from other tools,
and what benefits and challenges are associated with DevBot usage. In this paper we
report on a mixed-method empirical study of DevBot usage in industrial practice. We
report on findings from interviewing 21 and surveying a total of 111 developers. We
identify three different personas among DevBot users (focusing on autonomy, chat interfaces,
and “smartness”), each with different definitions of what a DevBot is, why developers
use them, and what they struggle with.We conclude that future DevBot research should
situate their work within our framework, to clearly identify what type of bot the
work targets, and what advantages practitioners can expect. Further, we find that
there currently is a lack of general purpose “smart” bots that go beyond simple automation
tools or chat interfaces. This is problematic, as we have seen that such bots, if
available, can have a transformative effect on the projects that use them.",2020,https://dx.doi.org/10.1145/3368089.3409680,no
Repairnator Patches Programs Automatically,"Repairnator is a bot. It constantly monitors software bugs discovered during continuous
integration of open-source software and tries to fix them automatically. If it succeeds
in synthesizing a valid patch, Repairnator proposes the patch to the human developers,
disguised under a fake human identity. To date, Repairnator has been able to produce
patches that were accepted by the human developers and permanently merged into the
code base. This is a milestone for human-competitiveness in software engineering research
on automatic program repair.",2019,https://dx.doi.org/10.1145/3349589,no
Estimation of FAPs and Intensities of AUs Based on Real-Time Face Tracking,"Imitation of natural facial behavior in real-time is still challenging when it comes
to natural behavior such as laughter and nonverbal expressions. This paper explains
our ongoing work on methodologies and tools for estimating Facial Animation Parameters
(FAPs) and intensities of Action Units (AUs) in order to imitate lifelike facial expressions
with an MPEG-4 complaint Embodied Conversational Agent (ECA) -- The GRETA agent (Bevacqua
et al. 2007). Firstly, we investigate available open source tools for better facial
landmark localization. Secondly, FAPs and intensities of AUs are estimated based on
facial landmarks computed with an open source face tracker tool. Finally, the paper
discusses our ongoing work to investigate better re-synthesis technology among FAP-based
and AU-based synthesis technologies using perceptual studies on: (i) naturalness in
synthesized facial expressions; (ii) similarity perceived by the subjects when compared
to original user's behavior.",2012,https://dx.doi.org/10.1145/2491599.2491612,no
Improving Feedback on GitHub Pull Requests: A Bots Approach,"Rising enrollments make it difficult for instructors and teaching assistants to give
adequate feedback on each student’s work. Our course projects require students
to submit GitHub pull requests as deliverables for their open-source software (OSS)
projects. We have set up a static code analyzer and a continuous integration service
on GitHub to help students check different aspects of the code. However, these tools
have some limitations. In this paper, we discuss how we bypass the limitations of
existing tools by implementing three Internet bots. These bots are either open source
or free for OSS projects and can be easily integrated with any GitHub repositories.
One-hundred one Computer Science and Computer Engineering masters students participated
in our study. The survey results showed that more than 84% of students thought
bots can help them to contribute code with better quality. We analyzed 396 pull requests.
Results revealed that bots can provide more timely feedback than teaching staff. The
Danger Bot is associated with a significant reduction system-specific guideline violations
(by 39%), and the Code Climate Bot is associated with a significant 60%
decrease of code smells in student contributions. However, we found that the Travis
CI Bot did not help student contributions pass automated tests.",2019,https://dx.doi.org/10.1109/FIE43999.2019.9028685,no
Sorry to Bother You Again: Developer Recommendation Choice Architectures for Designing Effective Bots,"Software robots, or bots, are useful for automating a wide variety of programming
and software development tasks. Despite the advantages of using bots throughout the
software engineering process, research shows that developers often face challenges
interacting with these systems. To improve automated developer recommendations from
bots, this work introduces developer recommendation choice architectures. Choice architecture
is a behavioral science concept that suggests the presentation of options impacts
the decisions humans make. To evaluate the impact of framing recommendations for software
engineers, we examine the impact of one choice architecture, actionability, for improving
the design of bot recommendations. We present the results of a preliminary study evaluating
this choice architecture in a bot and provide implications for integrating choice
architecture into the design of future software engineering bots.",2020,https://dx.doi.org/10.1145/3387940.3391506,no
The Inconvenient Side of Software Bots on Pull Requests,"Software bots are applications that integrate their work with humans' tasks, serving
as conduits between users and other tools. Due to their ability to automate tasks,
bots have been widely adopted by Open Source Software (OSS) projects hosted on GitHub.
Commonly, OSS projects use bots to automate a variety of routine tasks to save time
from maintainers and contributors. Although bots can be useful for supporting maintainers'
work, sometimes their comments are seen as spams, and are quickly ignored by contributors.
In fact, the way that these bots interact on pull requests can be disruptive and perceived
as unwelcoming. In this paper, we propose the concept of a meta-bot to deal with current
problems on the human-bot interaction on pull requests. Besides providing additional
value to this interaction, meta-bot will reduce interruptions and help maintainers
and contributors stay aware of important information.",2020,https://dx.doi.org/10.1145/3387940.3391504,no
A Software Engineering Approach Combining Rational and Conversational Agents for the Design of Assistance Applications,"A Conversational Agent can be useful for providing assistance to na\""{\i}ve users on how
to use a graphical interface. Such an assistant requires three features: understanding
users' requests, reasoning, and intuitive output. In this paper we introduce the DAFT-LEA
architecture for enabling assistant agents to reply to questions asked by naive users
about the structure and functioning of graphical interfaces. This architecture integrates
via a unified software engineering approach a linguistic parser for the understanding
the user's requests, a rational agent for the reasoning about the graphical application,
and a 2D cartoon like agent for the multimodal output. We describe how it has been
applied to three different assistance application contexts, and how it was incrementally
defined via the collection of a corpus of users' requests for assistance. Such an
approach can be useful for the design of other assistance applications since it enables
a clear separation between the original graphical application, its abstract DAFT model
and the linguistic processing of users' requests.",2005,https://doi.org/10.1007/11550617_10,no
A Framework for Integrating Gesture Generation Models into Interactive Conversational Agents,"Embodied conversational agents (ECAs) benefit from non-verbal behavior for natural
and efficient interaction with users. Gesticulation -- hand and arm movements accompanying
speech -- is an essential part of non-verbal behavior. Gesture generation models have
been developed for several decades: starting with rule-based and ending with mainly
data-driven methods. To date, recent end-to-end gesture generation methods have not
been evaluated in a real-time interaction with users. We present a proof-of-concept
framework, which is intended to facilitate evaluation of modern gesture generation
models in interaction.We demonstrate an extensible open-source framework that contains
three components: 1) a 3D interactive agent; 2) a chatbot backend; 3) a gesticulating
system. Each component can be replaced, making the proposed framework applicable for
investigating the effect of different gesturing models in real-time interactions with
different communication modalities, chatbot backends, or different agent appearances.
The code and video are available at the project page: https://nagyrajmund.github.io/project/gesturebot.",2021,,no
Enhancing Developers’ Support on Pull Requests Activities with Software Bots,"Software bots are employed to support developers' activities, serving as conduits
between developers and other tools. Due to their focus on task automation, bots have
become particularly relevant for Open Source Software (OSS) projects hosted on GitHub.
While bots are adopted to save development cost, time, and effort, the bots' presence
can be disruptive to the community. My research goal is two-fold: (i) identify problems
caused by bots that interact in pull requests, and (ii) help bot designers enhance
existing bots. Toward this end, we are interviewing maintainers, contributors, and
bot developers to understand the problems in the human-bot interaction and how they
affect the collaboration in a project. Afterward, we will employ Design Fiction to
capture the developers' vision of bots' capabilities, in order to define guidelines
for the design of bots on social coding platforms, and derive requirements for a meta-bot
to deal with the problems. This work contributes more broadly to the design and use
of software bots to enhance developers' collaboration and interaction.",2020,https://dx.doi.org/10.1145/3368089.3418539,no
How Younger and Older Adults Master the Usage of Hyperlinks in Small Screen Devices,"In this paper we describe an experiment, in which we examined older and younger adults
when interacting with a simulated PDA (personal digital assistant). Independent variables
were users' age (young vs. older) and device interface (hyperlink vs. no hyperlink).
Dependent variables were the effectiveness and efficiency of menu navigation. To understand
how user characteristics influence performance, spatial ability, verbal memory, computer
expertise and technical self-confidence were determined. Technology experienced young
and older adults (benchmark testing) took part. They had to solve four tasks either
with hyperlink interface or without hyperlinks in the interface. The method to collect,
to automatically analyze and to structure the data according to interaction sequences
and presumed user intentions is a novel approach supported by the open source software
tool Clever [12]. The tool is briefly described; more details can be found in [23].
Results revealed that hyperlink interfaces showed overall higher effectiveness. However,
the impact of hyperlinks for efficiency was age-related. Younger adults strongly benefit
from having hyperlinks. The contrary was the case for older adults, who showed higher
menu disorientation when using hyperlinks.",2007,https://dx.doi.org/10.1145/1240624.1240676,no
Leveraging Software Bots to Enhance Developers' Collaboration in Online Programming Communities,"Software bots are applications that are integrated into human communication channels,
serving as an interface between users and other tools. Due to their focus on task
automation, bots have become particularly relevant for Open Source Software (OSS)
projects hosted on GitHub. While bots are adopted to save developers' costs, time,
and effort, the interaction of these bots can be disruptive to the community. My research
goal is two-fold: (i) identify problems caused by bots that interact in pull requests,
and (ii) help bot designers to enhance existing bots, thereby improving the partnership
with contributors and maintainers. Toward this end, we are interviewing developers
to understand what are the problems on the human-bot interaction and how they affect
human collaboration. Afterwards, we will employ Design Fiction to capture the developers'
vision of bots' capabilities, in order to define guidelines for the design of bots
on social coding platforms, and derive requirements for a meta-bot to deal with the
problems. This work contributes more broadly to the design and use of software bots
to enhance developers' collaboration and interaction.",2020,https://dx.doi.org/10.1145/3406865.3418368,no
Approximating Interactive Human Evaluation with Self-Play for Open-Domain Dialog Systems,"Building an open-domain conversational agent is a challenging problem. Current evaluation
methods, mostly post-hoc judgments of static conversation, do not capture conversation
quality in a realistic interactive context. In this paper, we investigate interactive
human evaluation and provide evidence for its necessity; we then introduce a novel,
model-agnostic, and dataset-agnostic method to approximate it. In particular, we propose
a self-play scenario where the dialog system talks to itself and we calculate a combination
of proxies such as sentiment and semantic coherence on the conversation trajectory.
We show that this metric is capable of capturing the human-rated quality of a dialog
model better than any automated metric known to-date, achieving a significant Pearson
correlation (r &gt; .7, p &lt; .05). To investigate the strengths of this novel metric and
interactive evaluation in comparison to state-of-the-art metrics and human evaluation
of static conversations, we perform extended experiments with a set of models, including
several that make novel improvements to recent hierarchical dialog generation architectures
through sentiment and semantic knowledge distillation on the utterance level. Finally,
we open-source the interactive evaluation platform we built and the dataset we collected
to allow researchers to efficiently deploy and evaluate dialog models.",2019,,no
Make: Volume 45 Robot Workshop - Make Technology on Your Time,"May is Robot Month at Maker Media, and in this volume of Make:, we'll take a deeper
look at the latest developments in the robotics industry; the DIY humanoid robotic
movement, the resurgence of battling bots, and Maker manufacturing (both in Shenzhen
and domestically). In this issue: Inmoov: The coolest builds of the 3D printed, open-source
robot from France that has become a global prototyping platform.Combat Bots are Back!
Battle bots are making their resurgence and influencing real-world robot applications.
(Includes a Combat Bot design project!)Featured Project: Universal Gripper/robotic
handFeatured Project: DIY Self-Balancing Robot (Arduino-based build)Gareth Branwyn
navigates the Maker manufacturing scene and provides stories and insights.",2015,,no
Continual Online Evolutionary Planning for In-Game Build Order Adaptation in StarCraft,"The real-time strategy game StarCraft has become an important benchmark for AI research
as it poses a complex environment with numerous challenges. An important strategic
aspect in this game is to decide what buildings and units to produce. StarCraft bots
playing in AI competitions today are only able to switch between predefined strategies,
which makes it hard to adapt to new situations. This paper introduces an evolutionary-based
method to overcome this challenge, called Continual Online Evolutionary Planning (COEP),
which is able to perform in-game adaptive build-order planning. COEP was added to
an open source StarCraft bot called UAlbertaBot and is able to outperform the built-in
bots in the game as well as being competitive against a number of scripted opening
strategies. The COEP augmented bot can change its build order dynamically and quickly
adapt to the opponent's strategy.",2017,https://dx.doi.org/10.1145/3071178.3071210,no
POSTER: DeepCRACk: Using Deep Learning to Automatically CRack Audio CAPTCHAs,"A Completely Automated Public Turing test to tell Computers and Humans Apart (CAPTCHA)
is a defensive mechanism designed to differentiate humans and computers to prevent
unauthorized use of online services by automated attacks. They often consist of a
visual or audio test that humans can perform easily but that bots cannot solve. However,
with current machine learning techniques and open-source neural network architectures,
it is now possible to create a self-contained system that is able to solve specific
CAPTCHA types and outperform some human users. In this paper, we present a neural
network that leverages Mozilla's open source implementation of Baidu's Deep Speech
architecture; our model is currently able to solve the audio version of an open-source
CATPCHA system (named SimpleCaptcha) with 98.8% accuracy. Our network was trained
on 100,000 audio samples generated from SimpleCaptcha and can solve new SimpleCaptcha
audio tests in 1.25 seconds on average (with a standard deviation of 0.065 seconds).
Our implementation seems additionally promising because it does not require a powerful
server to function and is robust to adversarial examples that target Deep Speech's
pre-trained models.",2018,https://dx.doi.org/10.1145/3196494.3201581,no
Building Trading Bots Using Java,"Build an automated currency trading bot from scratch with java. In this book, you
will learn about the nitty-gritty of automated trading and have a closer look at Java,
the Spring Framework, event-driven programming, and other open source APIs, notably
Google's Guava API. And of course, development will all be test-driven with unit testing
coverage. The central theme of Building Trading Bots Using Java is to create a framework
that can facilitate automated trading on most of the brokerage platforms, with minimum
changes. At the end of the journey, you will have a working trading bot, with a sample
implementation using the OANDA REST API, which is free to use. What You'll LearnFind
out about trading botsDiscover the details of tradeable instruments and apply bots
to themTrack and use market data eventsPlace orders and tradesWork with trade/order
and account eventsWho This Book Is ForExperienced programmers new to bots and other
algorithmic trading and finance techniques.",2016,,no
Building a Bot for Automatic Expert Retrieval on Discord,"It is common for software practitioners to look for experts on online chat platforms,
such as Discord. However, finding them is a complex activity that requires a deep
knowledge of the open source community. As a consequence, newcomers and casual participants
may not be able to adequately find experts willing to discuss a particular topic.
Our paper describes a bot that provides a ranked list of Discord users that are experts
in a particular set of topics. Our bot uses simple heuristics to model expertise,
such as a word occurrence table and word embeddings. Our bot shows that at least half
of the retrieved users are indeed experts.",2021,https://dx.doi.org/10.1145/3472674.3473982,no
Developing Bots with Microsoft Bots Framework: Create Intelligent Bots Using MS Bot Framework and Azure Cognitive Services,"Develop Intelligent Bots using Microsoft Bot framework (C# and Node.js), Visual Studio
Enterprise &amp; Code, MicrosoftAzure and Cognitive Services. This book shows you how
to develop great Bots, publish to Azure and register with Bot portal so that customers
canconnect and communicate using famous communication channels like Skype, Slack,
Web and Facebook. You'll alsolearn how to build intelligence into Bots using Azure
Cognitive Services like LUIS, OCR, Speech to Text and WebSearch. Bots are the new
face of user experience. Conversational User Interface provides many options to make
userexperience richer, innovative and engaging with email, text, buttons or voice
as the medium for communication. Modern line of business applications can be replaced
or associated with Intelligent Bots that can use data/history combined with Machine
Intelligence to make user experience inclusive and exciting. With Developing Bots
with Microsoft Bots Framework, you'll see just how simple Bot building can be. What
You'll Learn Build Bots using MS Bot framework on Windows and Non-Windows platforms
Publish your Bot to the cloud in minutes Create rich communication platforms between
your application and users Apply Artificial Intelligence and Machine Learning to your
applications Who This Book Is For Developers and Architects who design and build modern
applications or communication platforms using MS stack or open source technologies.
Business Analysts and UX Specialists interested in designing and building trendy user
interfaces/platforms using Bots and Azure ML",2017,,no
How to Design a Program Repair Bot? Insights from the Repairnator Project,"Program repair research has made tremendous progress over the last few years, and
software development bots are now being invented to help developers gain productivity.
In this paper, we investigate the concept of a ""program repair bot"" and present Repairnator.
The Repairnator bot is an autonomous agent that constantly monitors test failures,
reproduces bugs, and runs program repair tools against each reproduced bug. If a patch
is found, Repairnator bot reports it to the developers. At the time of writing, Repairnator
uses three different program repair systems and has been operating since February
2017. In total, it has studied 11 523 test failures over 1 609 open-source software
projects hosted on GitHub, and has generated patches for 15 different bugs. Over months,
we hit a number of hard technical challenges and had to make various design and engineering
decisions. This gives us a unique experience in this area. In this paper, we reflect
upon Repairnator in order to share this knowledge with the automatic program repair
community.",2018,https://dx.doi.org/10.1145/3183519.3183540,no
Evolving Unsupervised Neural Networks for Slither.Io,"Slither.io is a massively multiplayer online game in which up to 500 players control
worm-like avatars and consume food to grow with the goal of becoming the largest player
while avoiding running into one another. The platform serves as a good testbed for
developing AI controlled agents due to its accessibility, mechanical simplicity, and
unpredictability. In this paper, we develop a Slither.io bot using neuroevolution
of augmenting topologies (NEAT) and compare its performance to that of the best open
source bot available online (a high-performing expert system bot). With a fitness
function based on the final size of the agent, our results show steady improvement
in average score. We discuss the unique emergent behaviors observed by our top performing
agents.",2019,https://dx.doi.org/10.1145/3337722.3341837,no
Portable DoS Test Tool for IoT Devices,"In the recent years, internet-of-things (IoT) devices have attracted an increasing
share of attention, and the vulnerability of IoT devices has been clarified. For example,
the IoT malware {¥it Mirai} constructs a bot using the vulnerability of IoT equipment
embedded with Linux and exploits it for distributed denial of service (DDoS) attacks.
Meanwhile, as reported in papers, examples of denial of service (DoS) attacks targeting
IoT/embedded devices have emerged. Therefore, the DoS test at the stage of product
design and development stage is very important. We then created an open source software
(OSS) based portable DoS test tool for IoT devices.",2017,https://dx.doi.org/10.1145/3139937.3139950,no
Demonstration of Multi-Agent Potential Fields in Real-Time Strategy Games,"Bots for Real Time Strategy (RTS) games provide a rich challenge to implement. A bot
controls a number of units that may have to navigate in a partially unknown environment,
while at the same time search for enemies and coordinate attacks to fight them down.
Potential fields is a technique originating from the area of robotics where it is
used in controlling the navigation of robots in dynamic environments. Although attempts
have been made to transfer the technology to the gaming sector, assumed problems with
efficiency and high costs for implementation have made the industry reluctant to adopt
it. Our demo shows the use of Multi-agent Potential Fields (MAPF) in an open source
RTS game. We will demonstrate both the potential fields as such, and the coordination
of the agents.",2008,,no
Make: Technology on Your Time Volume 38 DIY Consumer Electronics,"Makers are always identifying ways to invent new products and hack devices to improve
their lives and lifestyle. With easily accessible components, open source hardware,
and hackable platforms, its easier and more fun than ever. In MAKE Volume 38, readers
will learn to build many projects, including:A Raspberry Pi-powered tabletAn Arduino-driven
cell phoneThe Sing-Along Song DevocalizerAmazing CNC furniture projectsThe Pocket
Bot Mini Robot ArmThe possibilities are endlesswith the right tools and build instructions
from MAKE.",2014,,no
