BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Abstract,Custom2,Custom3,Custom4,Custom5,CI1 – Idioma Inglês,CI2 – Data de publicação (qualquer),CI3 – peer reviewed,CI4 – Disponível para download,CI5 – Assunto bots conversacionais,CI6 – Assunto engenharia de software,CE1 – Estudo duplicado,CE2 – Já existe replicação mais recente,CE3 – Bots não conversacionais,,,,
10,,2018c,,CEUR Workshop Proceedings,CEUR Workshop Proceedings,2075,,,,2018,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045432027&partnerID=40&md5=065c142a3a91f8b57173f8ad49bb552e,,,,,,,,,,,,,The proceedings contain 35 papers. The topics discussed include: how to deal with inaccurate service requirements? insights in our current approach and new ideas; requirements quality defect detection with the Qualicen requirements scout; CORDULA: software requirements extraction utilizing Chatbot as communication interface; research on NLP for RE at CNR-ISTI: a report; back to basics: extracting software requirements with a syntactic approach; research on NLP for RE at Fraunhofer FKIE: a report on grouping requirements; which semantics for requirements engineering: from shallow to deep; knowledge representation of requirements documents using natural language processing; is there really a need for using NLP to elicit requirements? a benchmarking study to assess scalability of manual analysis; managing multi-lingual user feedback: the SUPERSEDE project experience; educating for empathy in software engineering course; requirements-driven supervision of socio-technical systems; analysis of requirement problems regarding their causes and effects for projects with the objective to model qualitative PRIS empirical study; towards a systematic approach for designing gamification for RE; the interactive narrator tool: effective requirements exploration and discussion through visualization; and tool support for value modeling and risk analysis of e-services.,,,,,,,,,,,,,,,,,
7,,2018d,,"5th International Symposium on Data Mining Applications, SDMA 2018",Advances in Intelligent Systems and Computing,753,,,,2018,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045275457&partnerID=40&md5=a507f10f29962d3808f09854c543c565,,,,,,,,,,,,,The proceedings contain 18 papers. The special focus in this conference is on Data Mining Applications. The topics include: Comparative analysis of danger theory variants in measuring risk level for text spam messages; analyzing user behaviors: A study of tips in foursquare; classification of customer tweets using big data analytics; evolution of hashtags on twitter: A case study from events groups; investments in deep learning techniques for improving the biometric system accuracy; new feature extraction approach based on adaptive fuzzy systems for reliable biometric identification; An efficient PHSW-DC algorithm for solving motif finding problem in TP53 cancer gene; the effect of vitamin B12 deficiency on blood count using data mining; analysis of traffic accident in riyadh using clustering algorithms; support of Existing Chatbot Development Framework for Arabic Language: A Brief Survey; the Generative Power of Arabic Morphology and Implications: A case for pattern orientation in arabic corpus annotation and a proposed pattern ontology; A benchmark collection for mapping program educational objectives to ABET student outcomes: Accreditation; bug reports evolution in open source systems; analysis of Call Detail Records for Understanding Users Behavior and Anomaly Detection Using Neo4j; empirical analysis of static code metrics for predicting risk scores in android applications; toward stream analysis of software debugging data.,,,,,,,,,,,,,,,,,
7,,2018e,,"4th International Conference on Internet Science, INSCI 2017 co-located with IFIN, DATA ECONOMY, DSI, and CONVERSATIONS 2017",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),10750 LNCS,,,,2018,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044442665&partnerID=40&md5=4cad6ed8ebfc8e32add93c9052e13779,,,,,,,,,,,,,The proceedings contain 18 papers. The special focus in this conference is on. The topics include: The Case for Collaborative Policy Experimentation Using Advanced Geospatial Data Analytics and Visualisation; an Engagement-Related Behaviour Change Approach for SavingFood in Greece; developing a Social Innovation Methodology in the Web 2.0 Era; code Hunting Games: A Mixed Reality Multiplayer Treasure Hunt Through a Conversational Interface; politician – An Imitation Game; Towards Open Domain Chatbots—A GRU Architecture for Data Driven Conversations; creating Dialogues Using Argumentation and Social Practices; an Overview of Open-Source Chatbots Social Skills; technology Adoption and Social Innovation: Assessing an Online Financial Awareness Platform; aalto Observatory on Digital Valuation Systems: A Position Paper; a Novel Lexicon-Based Approach in Determining Sentiment in Financial Data Using Learning Automata; a Hybrid Recommendation System Based on Density-Based Clustering; computing Platform for Virtual Economic Activities Index; data Based Stock Portfolio Construction Using Computational Intelligence; yourDataStories: Transparency and Corruption Fighting Through Data Interlinking and Visual Exploration; the Maker Movement and the Disruption of the Producer-Consumer Relation.,,,,,,,,,,,,,,,,,
7,,2018f,,"17th International Conference on Web Engineering, ICWE 2017",Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),10544 LNCS,,,,2018,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042790395&partnerID=40&md5=70d5f57b6266ff65a56d9cd68911721f,,,,,,,,,,,,,The proceedings contain 26 papers. The special focus in this conference is on Web Engineering. The topics include: Towards an Acceptance Testing Approach for Internet of Things Systems; ABC Algorithm for URL Extraction; Towards a UML and IFML Mapping to GraphQL; accessing Government Open Data Through Chatbots; using Ontologies for Official Statistics: The Istat Experience; ontology Population from Raw Text Corpus for Open-Source Intelligence; named Entity Recognition in Twitter Using Images and Text; online Expectation Maximization for Language Characterization of Streaming Text; analysing Cultural Events on Twitter; semantic Discovery in the Web of Things; harvesting Knowledge from Social Networks: Extracting Typed Relationships Among Entities; novel Comment Spam Filtering Method on Youtube: Sentiment Analysis and Personality Recognition; mining Communication Data in a Music Community: A Preliminary Analysis; measuring Personal Branding in Social Media: Towards an Influence Indication Score; big Web Data: Warehousing and Analytics: Recent Trends and Future Challenges; model-Based Development of JavaScript Web Applications; Liquid Web Applications: ICWE2017 Tutorial; challenges When Moving from Monolith to Microservice Architecture; IoT Application Deployment Using Request-Response Pattern with MQTT; wireless Brain-Computer Interface for Wheelchair Control by Using Fast Machine Learning and Real-Time Hyper-Dimensional Classification; case Study: Building a Serverless Messenger Chatbot; four Key Factors to Design a Web of Things Architecture; liquid Transfer of User Identity; engineering Task-Automation Systems for Domain Specificity.,,,,,,,,,,,,,,,,,
3,,2019,,BotSE '19: Proceedings of the 1st International Workshop on Bots in Software Engineering,,,,,,2019,"Montreal, Quebec, Canada",,,,,,,,IEEE Press,,,,,,,"Welcome to the first International Workshop on Bots in Software Engineering (BotSE), held in conjunction with the 41st ACM/IEEE International Conference on Software Engineering (ICSE). BotSE aims to establish itself as an annual venue to gather researchers, practitioners and software community can discuss the use of bots in software engineering and its related issues. Bots (short for software robots) are software applications that perform often repetitive or simple tasks. In particular, social and chat bots interacting with humans are a recent research topic. Similarly, bots can be used to automate many tasks that are performed by software practitioners and teams in their day-to-day work. Recent work argue that bots can save developers' time and significantly increase productivity. Therefore, the goal of this one-day workshop is to bring together software engineering researchers and practitioners to discuss the opportunities and challenges of bots in software engineering.",,,,,,,,,,,,,,,,,
6,,2019a,,Message from the BotSE 2019 Workshop Organizers,,,,May,7-7,2019,,,,2019 IEEE/ACM 1st International Workshop on Bots in Software Engineering (BotSE),,,,,,,,,,,,The following topics are dealt with: software engineering; program debugging; software agents; artificial intelligence; software maintenance; recommender systems; user interfaces; program diagnostics; expert systems; information retrieval.,,,,,,,,,,,,,,,,,
10,,2019b,,"2019 National Information Technology Conference, NITC 2019","2019 National Information Technology Conference, NITC 2019",,,,,2019,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087214960&partnerID=40&md5=20156e1f2f663388b54573e07540d1c4,,,,,,,,,,,,,The proceedings contain 18 papers. The topics discussed include: a Sinhala and Tamil extension to generic environment for context-aware correction; enhanced tokenizer for Sinhala language; real time deception detection for criminal investigation; UniOntBot: semantic natural language generation based API approach for chatbot communication; measuring software integration effort: identifying factors affecting integration of software systems; RSSI and feed forward neural network (FFNN) based indoor localization in WSN; cloud-based open source primary care electronic patient record system for Sri Lankan citizens; fraud detection solution for monetary transactions with autoencoders; and HateSense: tackling ambiguity in hate speech detection.,,,,,,,,,,,,,,,,,
10,,2019c,,BCI 2019 - Proceedings: 9th Balkan Conference on Informatics,ACM International Conference Proceeding Series,,,,,2019,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073333820&partnerID=40&md5=0b26e927868b5879ec411dd9f519bd53,,,,,,,,,,,,,The proceedings contain 38 papers. The topics discussed include: statistical analysis in the research of human factor in software engineering; deep learning in brain computer interfaces; automatic identification of skills’ dependency; development of base ontology for a digital library of the Bulgarian museums’ collections; e-commerce distributed chatbot system; trends review of the contemporary security problems in the cyberspace; analysis of keystream produced by generalized shrinking multiplexing generator controlled by ternary m-sequence; applied computing for portfolio optimization in Bulgarian stock exchange; and a framework for predicting community behavior in evolving social networks.,,,,,,,,,,,,,,,,,
10,,2019d,,"Proceedings - 2019 IEEE/ACM 1st International Workshop on Bots in Software Engineering, BotSE 2019","Proceedings - 2019 IEEE/ACM 1st International Workshop on Bots in Software Engineering, BotSE 2019",,,,,2019,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084011690&partnerID=40&md5=0ae9a7c504b0db0c3bbef7a2c2628eb2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,2019e,,"Proceedings of the 2nd Student Workshop on Computer Science and Software Engineering, CS and SE@SW 2019",CEUR Workshop Proceedings,2546,,,,2019,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079642136&partnerID=40&md5=f6efe6af3bcbf1755347e99b13c84893,,,,,,,,,,,,,The proceedings contain 18 papers. The topics discussed include: dynamic doxastic action in doxastic modal logic; the dawn of software engineering education; an empirical comparison of machine learning clustering methods in the study of internet addiction among students majoring in computer sciences; automated recognition and sorting of agricultural objects using multi-agent approach; comparative analysis of the cryptocurrency and the stock markets using the random matrix theory; convolutional neural networks for image classification; credit scoring model for microfinance organizations; development of a chatbot for informing students of the schedule; system for detecting network anomalies using a hybrid of an uncontrolled and controlled neural network; and modeling university environment: means and applications for university education.,,,,,,,,,,,,,,,,,
7,,2019f,,"4th International Conference on Information, Communication and Computing Technology, ICICCT 2019",Communications in Computer and Information Science,1025 CCIS,,,,2019,,cited By 0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077704117&partnerID=40&md5=16f3fd0a2c51243c240df744056fff8b,,,,,,,,,,,,,"The proceedings contain 24 papers. The special focus in this conference is on Information, Communication and Computing Technology. The topics include: A comparative analysis of mobility models for network of UAVs; role of artificial intelligence and machine learning in resolving the issues and challenges with prosthetic knees; a noise tolerant auto resonance network for image recognition; design of hardware accelerator for artificial neural networks using multi-operand adder; performance analysis of collaborative recommender system: A heuristic approach; plant disease detection by leaf image classification using convolutional neural network; soft modeling approach in predicting surface roughness, temperature, cutting forces in hard turning process using artificial neural network: An empirical study; semi-automatic system for title construction; object recognition in hand drawn images using machine ensembling techniques and smote sampling; design and implementation of low noise amplifier in neural signal analysis; key phrase extraction system for agricultural documents; performance analysis of flappy bird playing agent using neural network and genetic algorithm; open domain conversational chatbot; human protein function prediction enhancement using decision tree based machine learning approach; efficient pruning methods for obtaining compact associative classifiers with enhanced classification accuracy rate; apache hadoop based distributed denial of service detection framework; quality assessment models for open source projects hosted on modern web-based forges: A review; VaFLE: Value flag length encoding for images in a multithreaded environment; impact of sink location in the routing of wireless sensor networks; Development of a WSN based data logger for electrical power system; embedded subscriber identity module with context switching.",,,,,,,,,,,,,,,,,
